title,brand,category,offerPrice,pageUrl
Samsung 250GB 850 EVO Series SATA 6Gbps SSD Solid State Disk 2.5-inch powered by 3D V-Nand,Samsung,,$64.90,https://www.amazon.com/Samsung-250GB-2-5-inch-powered-V-Nand/dp/B00P736UEU
Samsung Galaxy S8 64GB Verizon/Straight Talk,Samsung,Electronics,$409.99,https://www.amazon.com/Samsung-Galaxy-64GB-Verizon-Straight/dp/B071YL46XM
Samsung XE510C24-K01US Chromebook Pro,Samsung,Computers,$497.00,https://www.amazon.com/Samsung-XE510C24-K01US-Chromebook-Pro/dp/B071LB1GG4/?tag=geekzone-20
Samsung 850 EVO 500GB 2.5-Inch SATA III Internal SSD (MZ-75E500B/EU),Samsung,Computers,$149.99,https://www.amazon.com/Samsung-2-5-Inch-Internal-MZ-75E500B-EU/dp/B00P73B1E4
Samsung SmartThings Water Leak Sensor,Samsung,Home Improvement,$49.99,https://www.amazon.com/Samsung-SmartThings-Water-Leak-Sensor/dp/B00MOIYIN6
"Samsung Galaxy Mega 2, Brown Black 16GB (AT&amp;T)",Samsung,Electronics,$214.88,https://www.amazon.com/Samsung-Galaxy-Mega-Brown-Black/dp/B00N532DU4
"Samsung Galaxy S5, Black 16GB (Verizon Wireless)",Samsung,Electronics,$29.99,https://www.amazon.com/Samsung-Galaxy-S5-Verizon-Wireless/dp/B00IZ1XVAC
Samsung Charger Adapter for all Samsung Phones (Certified Refurbished),Samsung,Electronics,$9.99,https://www.amazon.com/Samsung-Charger-Adapter-Certified-Refurbished/dp/B07282SPXB
Samsung Galaxy S8+ SM-G955U 64GB Arctic Silver T-Mobile,Samsung,Electronics,$259.99,https://www.amazon.com/Samsung-Galaxy-SM-G955U-Arctic-T-Mobile/dp/B072N6GDV2
Samsung RF26HFENDSR 25.5 Cu. Ft. Stainless Steel French Door Refrigerator - Energy Star,Samsung,Appliances,,https://www.amazon.com/Samsung-RF26HFENDSR-Stainless-French-Refrigerator/dp/B00QGREE3U?SubscriptionId=AKIAJYZIGCIWOIEPL7MA&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00QGREE3U
Samsung 840 EVO MZ-MTE1T0BW 1TB mSATA Internal SSD Single Unit Version,Samsung,Computers,,https://www.amazon.com/Samsung-MZ-MTE1T0BW-Internal-Single-Version/dp/B00HWHVNUU
iPhone Camera Lens 0.45X Super Wide Angle Lens & 12.5X Macro Lens 2 in 1 Professional HD Cell Phone Camera Lens Kit for iPhone X 8 7 6S 6S Plus 6 5S Samsung Android Smartphones,Samsung,Cameras,$11.99,https://www.amazon.com/iPhone-Professional-Samsung-Android-Smartphones/dp/B074VMQ5Z2
"Samsung MG14H3020CM 1.4 cu. ft. Countertop Grill Microwave Oven with Ceramic Enamel Interior, Black Mirror Finish",Samsung,Appliances,$200.32,https://www.amazon.com/Samsung-MG14H3020CM-Countertop-Microwave-Interior/dp/B00NQFSSWS
"Samsung Chromebook 3, 11.6in, 4GB RAM, 16GB eMMC, Chromebook (XE500C13-K04US) (Renewed)",Samsung,Computers,,https://www.amazon.com/Samsung-Chromebook-XE500C13-K04US-Certified-Refurbished/dp/B0759YSF4W
Samsung SmartThings Smart Home Hub,Samsung SmartThings,Electronics,$95.99,http://www.amazon.com/dp/B010NZV0GE/ref=as_at?creativeASIN=B010NZV0GE&linkCode=w61&imprToken=aTUuX0rw1t3RomEUt3iByg&slotNum=83kinja_price=80&tag=kinjadeals-20&ascsubtag=c2f312d91deb202e60e8bae9402c67e0549d5588
Samsung Galaxy J3 J327 (2017) 16GB Unlocked GSM 5&quot; HD Display Galaxy Express Prime 2 Smartphone - Dark Gray,Samsung,Electronics,$119.98,https://www.amazon.com/Samsung-Unlocked-Display-Express-Smartphone/dp/B078KN66TJ
Samsung Galaxy S8 - 64GB SM-G950UZVATMB T-Mobile - (Renewed) (Midnight Black),Samsung,Electronics,$244.01,https://www.amazon.com/Samsung-Galaxy-SM-G950UZVATMB-Certified-Refurbished/dp/B0741QQZLG
Samsung UN65KS8000 65-Inch 4K Ultra HD Smart LED TV (2016 Model),Samsung,Electronics,"$14,900.00",https://www.amazon.com/Samsung-UN65KS8000-65-Inch-Ultra-Smart/dp/B01C5TFNSM
"Samsung Galaxy Core 2 DUOS G355 Unlocked GSM Quad-Core Cell Phone - White,INTERNATIONAL VERSION NO WARRANTY",Samsung,Electronics,$96.72,https://www.amazon.com/Samsung-Galaxy-Unlocked-Quad-Core-Phone/dp/B00MBRTA2Y
[DISCONTINUED] Samsung T1 Portable 250GB USB 3.0 External SSD (MU-PS250B/AM),Samsung,Computers,$299.98,https://www.amazon.com/DISCONTINUED-Samsung-Portable-External-MU-PS250B/dp/B00RWXV8FE
"Samsung Galaxy S9 Alcantara Case, Black",Samsung,Electronics,$39.46,https://www.amazon.com/Samsung-Galaxy-Alcantara-Case-Black/dp/B0797MY4L5
Samsung Galaxy S8 Active AT&amp;T Unlocked GSM Phone w/ 12MP Camera - Meteor Gray (Renewed),Samsung,Electronics,,https://www.amazon.com/Samsung-Galaxy-Android-Unlocked-Smartphone/dp/B07N7PHBLF
Samsung Galaxy S3 I9305 16GB 4G LTE Unlocked GSM Android Cell Phone - Black,Samsung,Electronics,$99.99,https://www.amazon.com/Samsung-Galaxy-I9305-Unlocked-Android/dp/B00F5OX878
"Samsung 2800mAh OEM Battery for Galaxy S5, Black/Silver (Discontinued by Manufacturer)",Samsung,Electronics,$8.92,https://www.amazon.com/Samsung-2800mAh-Battery-Discontinued-Manufacturer/dp/B00IN9HI2I
Samsung NX3000 Wireless Smart 20.3MP Mirrorless Digital Camera with 16-50mm OIS Power Zoom Lens and Flash (White),Samsung,Cameras,,https://www.amazon.com/Samsung-Wireless-Mirrorless-Digital-16-50mm/dp/B00K88XMHC
Samsung EVO Plus 32 GB microSDHC UHS-I U1 Memory Card with Adapter,Samsung,Computers,£6.79,https://www.amazon.co.uk/Samsung-32GB-Memory-Micro-Adapter/dp/B06XFSZGCC
Samsung UN48JU6400 48-Inch 4K Ultra HD Smart LED TV (2015 Model),Samsung,Electronics,$647.99,http://www.amazon.com/Samsung-UN48JU6400-48-Inch-Ultra-Smart/dp/B00Z0IBFYM/ref=sr_1_1?ie=UTF8&qid=1448206359&sr=8-1&keywords=UN48JU6400FXZA&tag=kinjadeals-20&ascsubtag=6bc77e4c9608adcdfddd5f626e94c618231d319a
Samsung Galaxy S5 Active 4G LTE 16 GB Rugged Smartphone Camo Green GSM Unlocked,Samsung,Electronics,$149.92,https://www.amazon.com/Samsung-Galaxy-Active-Smartphone-Unlocked/dp/B01E07MLIW
"Samsung Galaxy S8 Plus Case, Dual Layer Rugged Hard Drop Protection Slim Thin Fit Full Body Heavy Duty [Shock Absorption] Case for Samsung Galaxy S8 Plus by Lumion (Guardian - Metallic Silver)",Samsung,Electronics,$29.99,https://www.amazon.com/Samsung-Protection-Absorption-Lumion-Guardian/dp/B06Y1JSWBS
Samsung Gear Fit2 SmartWatch (Certified Refurbished) (Small),Samsung,Electronics,$98.50,https://www.amazon.com/Samsung-SmartWatch-Certified-Refurbished-Small/dp/B01N5HHTDL
"Samsung Galaxy S3, Blue 16GB (Verizon Wireless)",Samsung,Electronics,$69.99,https://www.amazon.com/Samsung-Galaxy-S3-Verizon-Wireless/dp/B008HTJLF6
Samsung J3 Nova - No Contract Phone - Gold - (Boost Mobile),Samsung,Electronics,$119.00,https://www.amazon.com/Samsung-J3-Nova-Contract-Mobile/dp/B01B4S4L1K
"Samsung Galaxy Core Prime, Charcoal Grey 8GB (Verizon Wireless)",Samsung,Electronics,$62.80,https://www.amazon.com/Samsung-Core-Prime-Charcoal-Wireless/dp/B00TRB5NUA
YN4L Wall Home AC Desktop Dock Battery Charger For Samsung Galaxy S III S3 i9300; i535; L710; T999; i747; Samsung Galaxy S4 Active i537; i337 AT&T; L720 Sprint; M919 T-Mobile; R970 US Cellular; i545 Verizon; Samsung Galaxy Stellar SCH-i200,Samsung,Electronics,$8.84,https://www.amazon.com/Desktop-Battery-T-Mobile-Cellular-SCH-i200/dp/B00O3MLQ72
Samsung Electronics UN55LS003AFXZA Flat 55&quot; LED 4K UHD The Frame SmartTV 2017 with white metal bezel,Samsung,Electronics,,https://www.amazon.com/Samsung-Electronics-UN55LS003AFXZA-Frame-SmartTV/dp/B0766CQ9WW
Samsung Electronics UN55MU6300 55-Inch 4K Ultra HD Smart LED TV (2017 Model),Samsung,Electronics,$805.00,https://www.amazon.com/Samsung-Electronics-UN55MU6300-55-Inch-Ultra/dp/B06XGJX3SH
"Samsung Galaxy S6 Edge, Black Sapphire 128GB (Verizon Wireless)",Samsung,Electronics,$287.99,https://www.amazon.com/Samsung-Galaxy-S6-Edge-Sapphire/dp/B00V7FYH8I
Samsung 128GB 100MB/s (U3) MicroSD EVO Select Memory Card with Adapter (MB-ME128GA/AM),Samsung,Computers,$19.99,https://www.amazon.com/Samsung-MicroSD-Adapter-MB-ME128GA-AM/dp/B06XWZWYVP?tag=zdnet-deals-20
Samsung Galaxy S8 Plus 64GB - Verizon + GSM Factory Unlocked 4G LTE - Arctic Silver (Renewed),Samsung,Electronics,$259.95,https://www.amazon.com/Samsung-Galaxy-Plus-64GB-Refurbished/dp/B076HTB9YK
[2-Pack] Jbao Direct for Samsung Galaxy A6 2018 Screen Protector (clear),Samsung,Electronics,$7.99,https://www.amazon.com/Jbao-Direct-Protector-Ani-fingerprints-Installation/dp/B07CNXJNK3
Samsung Galaxy S8 Active 64GB SM-G892A Unlocked GSM - Titanium Gold (Certified Refurbished),Samsung,Electronics,$424.99,https://www.amazon.com/Samsung-Galaxy-Active-SM-G892A-Unlocked/dp/B078YY1SFC
"Samsung Galaxy S8 Case, Zizo [Bolt Series] w/ [Galaxy S8 Screen Protector] Kickstand [12 ft. Military Grade Drop Tested] Holster Belt Clip - Galaxy S8 Black/Neon Green",Samsung,Electronics,$14.99,https://www.amazon.com/Samsung-Zizo-Protector-Kickstand-Military/dp/B06XXSSR8P
"Galaxy S8 Case, Ultra Slim Thin Fit Protective Armor Defender TPU Cover [Perfect Fit Flexible Lightweight] Anti-Slip Bumper for Samsung Galaxy S8 (2017) by Lumion (Single Fit - Black)",Samsung,Electronics,$24.99,https://www.amazon.com/Protective-Defender-Flexible-Lightweight-Anti-Slip/dp/B06XZL9V8V
Samsung Galaxy Nexus GT-I9250 Unlocked Cellphone--International Version (White),Samsung,Electronics,,https://www.amazon.com/Samsung-GT-I9250-Unlocked-Cellphone-International-Version/dp/B007870GVG
"Samsung Galaxy S9, Midnight Black and Chromebook 3 4GB RAM",Samsung,Electronics,$569.95,https://www.amazon.com/Samsung-Galaxy-Midnight-Black-Chromebook/dp/B07FRF1YZF
"Samsung Galaxy A70 128GB/6GB SM-A705MN/DS 6.7&quot; HD+ Infinity-U 4G/LTE Factory Unlocked Smartphone (International Version, No Warranty) (Black)",Samsung,Electronics,$329.99,https://www.amazon.com/Samsung-A70-Infinity-U-Smartphone-International/dp/B07RS512XL
Samsung Appliance RF28JBEDBSG 36&quot; Energy Star Rated Food Showcase French Door Refrigerator in Black Stainless Steel,Samsung,Appliances,$103.35,https://www.amazon.com/Samsung-Appliance-RF28JBEDBSG-Refrigerator-Stainless/dp/B014CYVO5Y
Samsung SM-T817A Galaxy Tab S2 32 GB Tablet 9.7&quot; AT&amp;T Wifi 4G Tablet,Samsung,Electronics,$194.99,https://www.amazon.com/Samsung-SM-T817A-Galaxy-Tablet-Wifi/dp/B014MK85L4
"Samsung Galaxy A8+ (2018) 32GB, 6.0&quot; Factory Unlocked SM-A730F Dual SIM, IP68, 4G LTE GSM International Version No Warranty (BLACK)",Samsung,Electronics,$344.93,https://www.amazon.com/Samsung-Unlocked-SM-A730F-International-Warranty/dp/B0794DH4FR
Samsung Battery Galaxy Note 3 Original OEM - Non-Retail Packaging - Black,Samsung,Electronics,$9.79,https://www.amazon.com/Samsung-Battery-Galaxy-Note-Original/dp/B00HWIMOKC
"Galaxy S7 Edge Case, Dual Layer Rugged Hard Drop Protection Slim Thin Fit Full Body Heavy Duty [Shock Absorption] Cover For Samsung Galaxy S7 Edge by Lumion (Guardian - Gold Sand)",Samsung,Electronics,$29.99,https://www.amazon.com/Protection-Absorption-Samsung-Lumion-Guardian/dp/B01N9TNRZO
Samsung Electronics UN40MU6300 40-Inch Class 4K UHD Smart LED TV,Samsung,Electronics,"$1,699.99",https://www.amazon.com/Samsung-Electronics-UN40MU6300-40-Inch-Ultra/dp/B06XGVQYQZ
Samsung Galaxy A10 A105M 32GB Duos - GSM Unlocked Phone w/ 13MP Camera - Red,Samsung,Electronics,$12.99,https://www.amazon.com/Samsung-Galaxy-A10-A105M-32GB/dp/B07Q77JLXX/?pd_rd_i=B07Q77JLXX&pd_rd_r=a93c3bb7-340f-4813-a920-499cfff06b34&pd_rd_w=bUE3d&pd_rd_wg=IRNcT&psc=1&refRID=NSHYMX63J4G4XWWPN85B
Samsung SSD 860 EVO 2TB 2.5 Inch SATA III Internal SSD (MZ-76E2T0B/AM),Samsung,Computers,$279.99,https://www.amazon.com/Samsung-Inch-Internal-MZ-76E2T0B-AM/dp/B0786QNSBD
Samsung Galaxy J7 Prime 2 Duos SM-G611F/DS 5.5&quot; Full HD Dual SIM GSM Unlocked with Finger Print Sensor 32GB 4G LTE (Black),Samsung,Electronics,$159.99,https://www.amazon.com/Samsung-Galaxy-SM-G611F-Unlocked-Finger/dp/B07D3KBWCF
"Samsung Galaxy J7 J710M Factory Unlocked Smartphone, 16GB, 5.5 Inch, 13MP No Warranty - International Version, Gold",Samsung,Electronics,$649.99,https://www.amazon.com/Samsung-Factory-Unlocked-Smartphone-Warranty/dp/B01LXXV0UT
"Samsung Galaxy S7 Edge G9350 Dual 128GB Unlocked GSM Black Pearl International Version, No Warranty, Will NOT Work with CDMA (Sprint, Verizon, etc.)",Samsung,Electronics,$147.90,https://www.amazon.com/Samsung-Unlocked-International-Version-Warranty/dp/B01NBT6CJN
Galaxy S8 Case :: VRS x LUMION :: Drop Protection Cover :: Classy Slim Leather Wallet:: ID Credit Card Slot Holder for Samsung Galaxy S8 (Layered Dandy - Dark Brown),Samsung,Electronics,$39.99,https://www.amazon.com/Galaxy-S8-Case-Protection-Leather/dp/B06XY5DKVJ
Samsung Original Genuine OEM Samsung Galaxy Note 2-3100 mAh Spare Replacement Li-Ion Battery for AT&amp;T and T-Mobile - Non-Retail Packaging - Silver (Certified Refurbished),Samsung,Electronics,,https://www.amazon.com/Samsung-OEM-Galaxy-Note-Replacement/dp/B01M5JK1VZ
1TB Samsung P3 Portable USB3.0 External Hard Drive (Brushed Aluminium),Samsung,Computers,,https://www.amazon.com/Samsung-Portable-External-Brushed-Aluminium/dp/B00CAQ4WM4
Samsung Gear S3 Frontier SM-R760 Smartwatch - Verizon Unlocked - Black (Certified Refurbished),Samsung,Electronics,$199.99,https://www.amazon.com/Samsung-Gear-Frontier-SM-R760-Smartwatch/dp/B078RRKHX6
"Samsung ATIV Book 9 Plus NP940X3G-K04US 13.3-Inch Touchscreen Laptop (1.8 GHz Intel Core i7-4500U Processor, 8GB DDR3, 256GB SSD, Windows 8) Ash Black",Samsung,Computers,"$1,199.99",https://www.amazon.com/Samsung-NP940X3G-K04US-13-3-Inch-Touchscreen-Processor/dp/B00F6EOB8C
Samsung Galaxy Note5 (Verizon + GSM) - 5.7&quot; Screen - 32GB - Samsung Certified Pre-Owned (U.S. Warranty) - White,Samsung,Electronics,,https://www.amazon.com/Samsung-Galaxy-Note5-Verizon-GSM/dp/B07C8SDR89
"Samsung Galaxy S5 SM-G900A 16GB 4G LTE GSM AT&amp;T Unlocked Android Smartphone, (Gold)",Samsung,Electronics,$208.40,https://www.amazon.com/Samsung-SM-G900A-Unlocked-Android-Smartphone/dp/B0182XCRSE
Samsung BD-J5700 Curved Blu-ray Player with Wi-Fi (2015 Model),Samsung,Electronics,$99.99,https://www.amazon.com/Samsung-BD-J5700-Curved-Blu-ray-Player/dp/B00TKOSUDQ
Samsung 850 EVO 250GB 2.5-Inch SATA III Internal SSD (MZ-75E250B/AM) (2 Pack),Samsung,Computers,$119.89,https://www.amazon.com/Samsung-2-5-Inch-Internal-MZ-75E250B-AM/dp/B01DZ1X7PA
"Samsung Galaxy S8, 64GB, Coral Blue - For AT&amp;T / T-Mobile (Renewed)",Samsung,Electronics,$229.99,https://www.amazon.com/Samsung-Galaxy-64GB-Certified-Refurbished/dp/B0778R6GRK
Samsung Galaxy Note 8 (US Version) Factory Unlocked Phone 64GB - Orchid Grey (Certified Refurbished),Samsung,Electronics,$609.99,https://www.amazon.com/Samsung-Galaxy-Version-Factory-Unlocked/dp/B0778RD1ZJ
